Month,Year,Vehicle Category,Bidding Type,Quota,Successful Bids,Received Bids,Quota Premium,PQP
1,2019,Cat B,1,1245,1242,1818,32200,31335
1,2019,Cat B,2,1244,1230,2119,33989,31335
1,2019,Cat C,1,330,308,472,27002,28171
1,2019,Cat C,2,344,342,537,26230,28171
1,2019,Cat D,1,1112,1103,1396,3610,3458
1,2019,Cat D,2,1104,1104,1473,2889,3458
1,2019,Cat E,1,546,540,776,32909,0
1,2019,Cat E,2,540,530,797,33689,0
2,2019,Cat A,1,1662,1653,2371,25689,25727
2,2019,Cat A,2,1650,1650,2261,26301,25727
2,2019,Cat B,1,1202,1169,1937,34509,31933
2,2019,Cat B,2,1214,1213,1993,35403,31933
2,2019,Cat C,1,326,324,466,26378,27376
2,2019,Cat C,2,306,306,433,26914,27376
2,2019,Cat D,1,834,834,1164,3709,3198
2,2019,Cat D,2,826,817,1100,3689,3198
2,2019,Cat E,1,403,392,545,35310,0
2,2019,Cat E,2,407,407,658,36667,0
3,2019,Cat A,1,1659,1653,2213,26309,25525
3,2019,Cat A,2,1650,1647,2204,26659,25525
3,2019,Cat B,1,1233,1230,1903,36961,33018
3,2019,Cat B,2,1201,1195,1878,39401,33018
3,2019,Cat C,1,306,301,443,27010,26756
3,2019,Cat C,2,304,304,411,27021,26756
3,2019,Cat D,1,825,822,1175,3602,3515
3,2019,Cat D,2,834,825,1039,3469,3515
3,2019,Cat E,1,408,405,689,37620,0
3,2019,Cat E,2,397,396,730,41000,0
4,2019,Cat A,1,1656,1650,2338,29159,26175
4,2019,Cat A,2,1653,1603,2249,33199,26175
4,2019,Cat B,1,1202,1202,1782,43102,35411
4,2019,Cat B,2,1205,1181,1634,48000,35411
4,2019,Cat C,1,309,304,431,27589,26760
4,2019,Cat C,2,304,284,560,32001,26760
4,2019,Cat D,1,829,803,1193,3501,3495
4,2019,Cat D,2,835,834,1129,3452,3495
4,2019,Cat E,1,400,391,648,48209,0
4,2019,Cat E,2,398,391,667,52410,0
5,2019,Cat A,1,1431,1431,1988,36704,27886
5,2019,Cat A,2,1475,1475,1799,27000,27886
5,2019,Cat B,1,1139,1139,1360,48010,39563
5,2019,Cat B,2,1163,1161,1407,42564,39563
5,2019,Cat C,1,394,394,610,28559,27819
5,2019,Cat C,2,409,406,600,27400,27819
5,2019,Cat D,1,923,896,1154,3352,3571
5,2019,Cat D,2,898,886,1193,3202,3571
5,2019,Cat E,1,384,379,513,52502,0
5,2019,Cat E,2,382,375,626,47000,0
6,2019,Cat A,1,1424,1417,1902,30009,29839
6,2019,Cat A,2,1424,1225,1742,26999,29839
6,2019,Cat B,1,1139,1137,1346,39728,43007
6,2019,Cat B,2,1141,1137,1418,35906,43007
6,2019,Cat C,1,389,389,535,25502,28264
6,2019,Cat C,2,393,390,607,25501,28264
6,2019,Cat D,1,925,920,1149,3090,3430
6,2019,Cat D,2,909,906,1187,3000,3430
6,2019,Cat E,1,380,375,724,42002,0
6,2019,Cat E,2,381,380,536,39400,0
7,2019,Cat A,1,1431,1428,1795,28589,30512
7,2019,Cat A,2,1623,1617,1902,26667,30512
7,2019,Cat B,1,1141,1135,1390,34000,42885
7,2019,Cat B,2,1143,1140,1677,39406,42885
7,2019,Cat C,1,390,382,649,25089,27759
7,2019,Cat C,2,393,393,657,24599,27759
7,2019,Cat D,1,902,890,1141,3081,3267
7,2019,Cat D,2,900,897,1193,3554,3267
7,2019,Cat E,1,379,377,523,36901,0
7,2019,Cat E,2,375,367,751,39889,0
8,2019,Cat A,1,1059,1059,2023,32725,29328
8,2019,Cat A,2,1062,1062,1725,31917,29328
8,2019,Cat B,1,1047,1043,1487,40001,39936
8,2019,Cat B,2,1045,1043,1415,38602,39936
8,2019,Cat C,1,292,273,492,27800,26109
8,2019,Cat C,2,283,283,446,26501,26109
8,2019,Cat D,1,751,751,1040,4400,3214
8,2019,Cat D,2,742,574,1010,4301,3214
8,2019,Cat E,1,357,353,589,40512,0
8,2019,Cat E,2,363,353,593,40002,0
9,2019,Cat A,1,1056,1056,1656,31783,29485
9,2019,Cat A,2,1056,1053,1453,31759,29485
9,2019,Cat B,1,1046,1040,1289,36001,37941
9,2019,Cat B,2,1044,1042,1418,37000,37941
9,2019,Cat C,1,302,299,446,25502,25832
9,2019,Cat C,2,283,282,544,25556,25832
9,2019,Cat D,1,739,712,1086,4089,3571
9,2019,Cat D,2,907,893,1197,3601,3571
9,2019,Cat E,1,359,350,552,37912,0
9,2019,Cat E,2,365,350,632,40000,0
10,2019,Cat A,1,1057,1033,1659,34001,30574
10,2019,Cat A,2,1060,1056,1467,32309,30574
10,2019,Cat B,1,1048,1042,1559,41361,37502
10,2019,Cat B,2,1044,1037,1503,41805,37502
10,2019,Cat C,1,286,286,522,26509,25842
10,2019,Cat C,2,284,279,439,26001,25842
10,2019,Cat D,1,765,763,1036,3800,3838
10,2019,Cat D,2,753,746,989,3889,3838
10,2019,Cat E,1,364,358,601,41001,0
10,2019,Cat E,2,369,356,506,42020,0
11,2019,Cat A,1,1043,1031,1302,30000,32416
11,2019,Cat A,2,1023,1012,1468,32000,32416
11,2019,Cat B,1,1017,1016,1296,40009,39129
11,2019,Cat B,2,1019,1016,1331,39700,39129
11,2019,Cat C,1,318,318,440,25392,26312
11,2019,Cat C,2,322,322,495,24502,26312
11,2019,Cat D,1,693,691,831,4100,4014
11,2019,Cat D,2,698,692,974,3921,4014
11,2019,Cat E,1,383,376,587,40101,0
11,2019,Cat E,2,390,383,540,40889,0
12,2019,Cat A,1,1030,1013,1386,33009,31976
12,2019,Cat A,2,1029,1013,1256,32889,31976
12,2019,Cat B,1,1013,1003,1265,37900,39313
12,2019,Cat B,2,1015,1015,1251,36000,39313
12,2019,Cat C,1,318,315,402,23704,25577
12,2019,Cat C,2,318,307,441,23200,25577
12,2019,Cat D,1,693,678,908,3789,3900
12,2019,Cat D,2,697,696,850,3658,3900
12,2019,Cat E,1,384,377,518,38889,0
12,2019,Cat E,2,384,373,496,37989,0
1,2020,Cat A,1,1035,1026,1450,35320,32368
1,2020,Cat A,2,1034,1025,1390,35010,32368
1,2020,Cat B,1,1022,1021,1229,37109,39463
1,2020,Cat B,2,1012,1008,1157,37705,39463
1,2020,Cat C,1,321,321,457,24402,24885
1,2020,Cat C,2,329,292,504,25001,24885
1,2020,Cat D,1,707,706,1084,3989,3860
1,2020,Cat D,2,693,693,936,4610,3860
1,2020,Cat E,1,384,377,541,38000,0
1,2020,Cat E,2,388,388,528,37500,0
2,2020,Cat A,1,982,977,1204,30010,33038
2,2020,Cat A,2,982,973,1564,32999,33038
2,2020,Cat B,1,984,980,1173,30890,38071
2,2020,Cat B,2,987,978,1459,32889,38071
2,2020,Cat C,1,314,314,504,25013,24367
2,2020,Cat C,2,352,219,561,25001,24367
2,2020,Cat D,1,578,562,821,4401,4012
2,2020,Cat D,2,577,574,729,4309,4012
2,2020,Cat E,1,335,330,525,34900,0
2,2020,Cat E,2,328,324,550,33301,0
3,2020,Cat A,1,978,973,1436,32699,33207
3,2020,Cat A,2,982,962,1421,31210,33207
3,2020,Cat B,1,987,987,1347,32801,35416
3,2020,Cat B,2,992,943,1366,30012,35416
3,2020,Cat C,1,315,315,504,24202,24387
3,2020,Cat C,2,448,448,708,22002,24387
3,2020,Cat D,1,593,587,785,4310,4126
3,2020,Cat D,2,581,576,757,4489,4126
3,2020,Cat E,1,333,331,512,32500,0
3,2020,Cat E,2,331,324,503,32500,0
4,2020,Cat A,1,,,,,32875
4,2020,Cat A,2,,,,,32875
4,2020,Cat B,1,,,,,33568
4,2020,Cat B,2,,,,,33568
4,2020,Cat C,1,,,,,24271
4,2020,Cat C,2,,,,,24271
4,2020,Cat D,1,,,,,4352
4,2020,Cat D,2,,,,,4352
4,2020,Cat E,1,,,,,0
4,2020,Cat E,2,,,,,0
5,2020,Cat A,1,,,,,32875
5,2020,Cat A,2,,,,,32875
5,2020,Cat B,1,,,,,33568
5,2020,Cat B,2,,,,,33568
5,2020,Cat C,1,,,,,24271
5,2020,Cat C,2,,,,,24271
5,2020,Cat D,1,,,,,4352
5,2020,Cat D,2,,,,,4352
5,2020,Cat E,1,,,,,0
5,2020,Cat E,2,,,,,0
6,2020,Cat A,1,,,,,32875
6,2020,Cat A,2,,,,,32875
6,2020,Cat B,1,,,,,33568
6,2020,Cat B,2,,,,,33568
6,2020,Cat C,1,,,,,24271
6,2020,Cat C,2,,,,,24271
6,2020,Cat D,1,,,,,4352
6,2020,Cat D,2,,,,,4352
6,2020,Cat E,1,,,,,0
6,2020,Cat E,2,,,,,0
7,2020,Cat A,1,1289,1286,3061,33520,32875
7,2020,Cat A,2,1304,1290,2485,32699,32875
7,2020,Cat B,1,1291,1260,3160,35889,33568
7,2020,Cat B,2,1339,1316,2497,35001,33568
7,2020,Cat C,1,489,481,866,24502,24271
7,2020,Cat C,2,489,482,759,23888,24271
7,2020,Cat D,1,869,856,1611,7702,4352
7,2020,Cat D,2,869,864,1355,6510,4352
7,2020,Cat E,1,444,436,937,34989,0
7,2020,Cat E,2,448,438,714,35001,0
8,2020,Cat A,1,1022,1007,2047,33000,32190
8,2020,Cat A,2,1034,1019,2099,35710,32190
8,2020,Cat B,1,932,928,1985,37102,32914
8,2020,Cat B,2,923,912,1727,38802,32914
8,2020,Cat C,1,358,354,658,24100,24102
8,2020,Cat C,2,357,356,586,25006,24102
8,2020,Cat D,1,503,497,720,7701,5287
8,2020,Cat D,2,495,491,797,7432,5287
8,2020,Cat E,1,472,466,784,36502,0
8,2020,Cat E,2,474,467,764,38110,0
9,2020,Cat A,1,1035,1035,1737,37766,33140
9,2020,Cat A,2,1034,1031,1540,38504,33140
9,2020,Cat B,1,904,892,1715,41510,34935
9,2020,Cat B,2,912,912,1497,40989,34935
9,2020,Cat C,1,354,350,525,26644,23950
9,2020,Cat C,2,351,346,591,28589,23950
9,2020,Cat D,1,496,488,691,7399,6358
9,2020,Cat D,2,494,492,642,7331,6358
9,2020,Cat E,1,470,470,672,40790,0
9,2020,Cat E,2,471,468,671,41001,0
10,2020,Cat A,1,912,907,1272,36534,35200
10,2020,Cat A,2,916,907,1323,37334,35200
10,2020,Cat B,1,805,800,1218,40690,38216
10,2020,Cat B,2,793,793,1272,40990,38216
10,2020,Cat C,1,316,314,587,33089,25455
10,2020,Cat C,2,316,315,538,33778,25455
10,2020,Cat D,1,429,420,677,7451,7346
10,2020,Cat D,2,423,410,560,7300,7346
10,2020,Cat E,1,427,426,688,40301,0
10,2020,Cat E,2,430,373,672,39889,0
11,2020,Cat A,1,967,952,1262,35990,36475
11,2020,Cat A,2,972,966,1361,37690,36475
11,2020,Cat B,1,1013,985,1415,39000,40014
11,2020,Cat B,2,1007,1006,1559,41101,40014
11,2020,Cat C,1,370,370,558,31502,28535
11,2020,Cat C,2,369,367,597,30334,28535
11,2020,Cat D,1,533,532,727,7251,7436
11,2020,Cat D,2,537,532,679,7300,7436
11,2020,Cat E,1,464,463,683,39500,0
11,2020,Cat E,2,520,512,803,41503,0
12,2020,Cat A,1,978,978,1620,40714,37303
12,2020,Cat A,2,969,966,1403,40556,37303
12,2020,Cat B,1,1035,1019,1712,45012,40714
12,2020,Cat B,2,1009,998,1631,49300,40714
12,2020,Cat C,1,368,363,599,32889,30656
12,2020,Cat C,2,369,355,640,35201,30656
12,2020,Cat D,1,526,522,767,7670,7339
12,2020,Cat D,2,530,507,710,7689,7339
12,2020,Cat E,1,464,461,722,45510,0
12,2020,Cat E,2,471,469,688,49500,0
1,2021,Cat A,1,963,962,1280,40609,38137
1,2021,Cat A,2,966,946,1309,43501,38137
1,2021,Cat B,1,1023,1021,1396,49001,42683
1,2021,Cat B,2,1018,1018,1338,50100,42683
1,2021,Cat C,1,372,352,679,35900,32799
1,2021,Cat C,2,381,378,671,40999,32799
1,2021,Cat D,1,529,498,692,7501,7444
1,2021,Cat D,2,548,535,706,7589,7444
1,2021,Cat E,1,467,463,758,49489,0
1,2021,Cat E,2,466,458,705,51900,0
2,2021,Cat A,1,885,881,1098,42000,39844
2,2021,Cat A,2,903,900,1226,41001,39844
2,2021,Cat B,1,943,943,1107,46790,45586
2,2021,Cat B,2,942,938,1168,46002,45586
2,2021,Cat C,1,276,276,510,45001,34471
2,2021,Cat C,2,259,223,424,40890,34471
2,2021,Cat D,1,572,572,705,7506,7500
2,2021,Cat D,2,554,554,715,7500,7500
2,2021,Cat E,1,300,300,435,49778,0
2,2021,Cat E,2,304,302,503,47506,0
3,2021,Cat A,1,887,887,1175,41996,41397
3,2021,Cat A,2,886,879,1186,44589,41397
3,2021,Cat B,1,942,926,1121,45001,47701
3,2021,Cat B,2,946,932,1222,47001,47701
3,2021,Cat C,1,255,248,480,37513,38480
3,2021,Cat C,2,292,286,507,39589,38480
3,2021,Cat D,1,542,524,707,7752,7576
3,2021,Cat D,2,542,538,700,7791,7576
3,2021,Cat E,1,296,296,450,47001,0
3,2021,Cat E,2,298,291,430,47806,0
4,2021,Cat A,1,883,880,1212,45600,42283
4,2021,Cat A,2,890,883,1290,49640,42283
4,2021,Cat B,1,958,949,1524,52309,47316
4,2021,Cat B,2,956,949,1585,61190,47316
4,2021,Cat C,1,263,263,488,36134,39982
4,2021,Cat C,2,262,256,441,44001,39982
4,2021,Cat D,1,560,524,735,8000,7607
4,2021,Cat D,2,546,532,734,8000,7607
4,2021,Cat E,1,296,286,635,52200,0
4,2021,Cat E,2,303,295,633,62100,0
5,2021,Cat A,1,832,803,1100,48002,44138
5,2021,Cat A,2,835,834,1209,41801,44138
5,2021,Cat B,1,819,813,1244,60001,49716
5,2021,Cat B,2,817,817,1089,58089,49716
5,2021,Cat C,1,157,119,261,43001,40522
5,2021,Cat C,2,164,83,315,41701,40522
5,2021,Cat D,1,650,639,901,8011,7759
5,2021,Cat D,2,628,625,904,8701,7759
5,2021,Cat E,1,268,268,387,63002,0
5,2021,Cat E,2,266,260,400,62000,0
6,2021,Cat A,1,858,820,1439,48510,45272
6,2021,Cat A,2,830,823,1178,47821,45272
6,2021,Cat B,1,815,784,1107,60109,53932
6,2021,Cat B,2,809,799,983,56032,53932
6,2021,Cat C,1,195,190,413,37002,40324
6,2021,Cat C,2,238,229,478,37000,40234
6,2021,Cat D,1,626,624,776,8703,8043
6,2021,Cat D,2,618,577,864,8501,8043
6,2021,Cat E,1,259,259,331,61112,0
6,2021,Cat E,2,265,257,519,58001,0
7,2021,Cat A,1,867,864,1149,45001,46896
7,2021,Cat A,2,836,832,1240,47010,46896
7,2021,Cat B,1,840,840,1087,56100,57955
7,2021,Cat B,2,819,796,1107,59501,57955
7,2021,Cat C,1,162,159,340,38900,39807
7,2021,Cat C,2,166,163,337,39523,39807
7,2021,Cat D,1,616,612,760,8502,8320
7,2021,Cat D,2,655,649,863,8689,8320
7,2021,Cat E,1,259,257,416,57700,0
7,2021,Cat E,2,267,266,408,60001,0
8,2021,Cat A,1,805,804,1021,45189,46358
8,2021,Cat A,2,806,806,1127,46689,46358
8,2021,Cat B,1,771,751,980,56001,58306
8,2021,Cat B,2,794,793,1065,61001,58306
8,2021,Cat C,1,118,111,233,42589,39522
8,2021,Cat C,2,118,113,220,40010,39522
8,2021,Cat D,1,449,449,667,8899,8518
8,2021,Cat D,2,451,447,635,9500,8518
8,2021,Cat E,1,199,190,288,59599,0
8,2021,Cat E,2,198,197,408,64901,0
9,2021,Cat A,1,804,790,1124,47000,46704
9,2021,Cat A,2,803,795,1040,48000,46704
9,2021,Cat B,1,791,788,1080,62600,58124
9,2021,Cat B,2,772,768,1189,68310,58124
9,2021,Cat C,1,122,113,211,40001,39171
9,2021,Cat C,2,120,110,203,39000,39171
9,2021,Cat D,1,445,445,562,9689,8799
9,2021,Cat D,2,449,443,658,9089,8799
9,2021,Cat E,1,206,190,319,64700,0
9,2021,Cat E,2,198,186,400,70002,0
10,2021,Cat A,1,816,812,1077,47001,46482
10,2021,Cat A,2,811,806,1304,52709,46482
10,2021,Cat B,1,774,774,1130,70200,60586
10,2021,Cat B,2,774,767,1240,80210,60586
10,2021,Cat C,1,125,123,233,38890,40004
10,2021,Cat C,2,126,125,252,40501,40004
10,2021,Cat D,1,444,438,633,9052,9062
10,2021,Cat D,2,450,449,597,9310,9062
10,2021,Cat E,1,214,200,442,72756,0
10,2021,Cat E,2,210,191,391,85000,0
11,2021,Cat A,1,536,531,834,53709,47765
11,2021,Cat A,2,537,535,706,55001,47765
11,2021,Cat B,1,587,581,839,82801,66387
11,2021,Cat B,2,594,585,797,79601,66387
11,2021,Cat C,1,92,89,173,42001,40166
11,2021,Cat C,2,91,91,164,43502,40166
11,2021,Cat D,1,417,409,543,9381,9257
11,2021,Cat D,2,412,397,557,9381,9257
11,2021,Cat E,1,159,155,257,88000,0
11,2021,Cat E,2,164,133,253,86001,0
12,2021,Cat A,1,536,525,771,57010,50570
12,2021,Cat A,2,534,534,740,58801,50570
12,2021,Cat B,1,593,593,822,80401,73954
12,2021,Cat B,2,595,590,829,80989,73954
12,2021,Cat C,1,93,93,147,45000,40650
12,2021,Cat C,2,90,89,150,44000,40650
12,2021,Cat D,1,420,400,584,9401,9317
12,2021,Cat D,2,426,422,562,9601,9317
12,2021,Cat E,1,149,145,245,85000,0
12,2021,Cat E,2,177,177,241,83889,0
1,2022,Cat A,1,543,533,760,57599,54039
1,2022,Cat A,2,531,526,711,57898,54039
1,2022,Cat B,1,587,586,712,77700,79034
1,2022,Cat B,2,592,583,907,82001,79034
1,2022,Cat C,1,90,87,198,42200,42316
1,2022,Cat C,2,91,91,149,43001,42316
1,2022,Cat D,1,431,429,573,9689,9355
1,2022,Cat D,2,416,401,520,10000,9355
1,2022,Cat E,1,149,149,193,82501,0
1,2022,Cat E,2,145,145,226,83911,0
2,2022,Cat A,1,542,542,819,60761,56670
2,2022,Cat A,2,536,524,876,63000,56670
2,2022,Cat B,1,550,549,865,86102,80583
2,2022,Cat B,2,559,554,939,93590,80583
2,2022,Cat C,1,80,80,149,44001,43284
2,2022,Cat C,2,76,61,194,46501,43284
2,2022,Cat D,1,406,405,555,10010,9576
2,2022,Cat D,2,420,416,521,10589,9576
2,2022,Cat E,1,180,171,269,87000,0
2,2022,Cat E,2,180,180,300,93102,0
3,2022,Cat A,1,531,526,962,68501,59179
3,2022,Cat A,2,543,542,849,71556,59179
3,2022,Cat B,1,551,551,860,94889,83464
3,2022,Cat B,2,555,545,824,98889,83464
3,2022,Cat C,1,76,67,199,48889,44118
3,2022,Cat C,2,91,91,166,51504,44118
3,2022,Cat D,1,405,403,602,11400,9882
3,2022,Cat D,2,409,409,575,10501,9882
3,2022,Cat E,1,190,190,318,98890,0
3,2022,Cat E,2,180,177,344,99010,0
4,2022,Cat A,1,536,536,723,72996,63220
4,2022,Cat A,2,532,519,744,68699,63220
4,2022,Cat B,1,550,550,708,98389,88862
4,2022,Cat B,2,560,559,687,90002,88862
4,2022,Cat C,1,85,84,210,54901,46016
4,2022,Cat C,2,76,76,181,52002,46016
4,2022,Cat D,1,407,405,561,10503,10365
4,2022,Cat D,2,404,355,539,9801,10365
4,2022,Cat E,1,180,174,290,99999,0
4,2022,Cat E,2,184,182,295,95801,0
5,2022,Cat A,1,612,612,804,70901,67586
5,2022,Cat A,2,625,623,819,68001,67586
5,2022,Cat B,1,527,526,699,92090,93644
5,2022,Cat B,2,528,523,709,95889,93644
5,2022,Cat C,1,104,100,184,50890,49633
5,2022,Cat C,2,103,103,220,51501,49633
5,2022,Cat D,1,563,560,773,9489,10468
5,2022,Cat D,2,609,600,899,9490,10468
5,2022,Cat E,1,195,195,283,91112,0
5,2022,Cat E,2,191,187,309,95901,0
6,2022,Cat A,1,612,607,874,73801,70109
6,2022,Cat A,2,614,598,850,74989,70109
6,2022,Cat B,1,528,528,851,100684,95025
6,2022,Cat B,2,531,531,822,106001,95025
6,2022,Cat C,1,107,107,203,53002,51615
6,2022,Cat C,2,103,103,224,53011,51615
6,2022,Cat D,1,563,542,859,10000,10198
6,2022,Cat D,2,570,570,717,10302,10198
6,2022,Cat E,1,190,185,316,100697,0
6,2022,Cat E,2,194,190,276,104400,0
7,2022,Cat A,1,617,606,900,78001,71565
7,2022,Cat A,2,628,620,834,78899,71565
7,2022,Cat B,1,527,522,695,107800,97176
7,2022,Cat B,2,527,526,702,110003,97176
7,2022,Cat C,1,102,91,160,54001,52552
7,2022,Cat C,2,102,98,174,54889,52552
7,2022,Cat D,1,582,513,768,10889,9931
7,2022,Cat D,2,561,555,723,10910,9931
7,2022,Cat E,1,195,191,340,110524,0
7,2022,Cat E,2,194,194,317,114001,0
8,2022,Cat A,1,554,541,689,80000,74099
8,2022,Cat A,2,551,551,835,87889,74099
8,2022,Cat B,1,474,474,612,107001,102078
8,2022,Cat B,2,471,470,665,112001,102078
8,2022,Cat C,1,95,93,168,56089,52883
8,2022,Cat C,2,87,87,196,59090,52883
8,2022,Cat D,1,573,562,696,11000,10180
8,2022,Cat D,2,510,502,673,11101,10180
8,2022,Cat E,1,167,165,293,113000,0
8,2022,Cat E,2,163,151,273,112001,0
9,2022,Cat A,1,556,535,723,86000,78930
9,2022,Cat A,2,543,527,759,84000,78930
9,2022,Cat B,1,470,466,627,113000,107249
9,2022,Cat B,2,471,471,553,108051,107249
9,2022,Cat C,1,85,84,179,64989,55014
9,2022,Cat C,2,83,75,157,67001,55014
9,2022,Cat D,1,515,514,588,11301,10701
9,2022,Cat D,2,512,500,658,11589,10701
9,2022,Cat E,1,165,150,260,113299,0
9,2022,Cat E,2,176,176,297,107201,0
10,2022,Cat A,1,564,561,724,80501,82465
10,2022,Cat A,2,559,558,714,81089,82465
10,2022,Cat B,1,474,472,635,95856,109643
10,2022,Cat B,2,470,463,848,110000,109643
10,2022,Cat C,1,84,83,148,65991,59334
10,2022,Cat C,2,91,86,297,70201,59334
10,2022,Cat D,1,505,504,624,11751,11132
10,2022,Cat D,2,516,511,632,12801,11132
10,2022,Cat E,1,179,179,232,105001,0
10,2022,Cat E,2,164,160,285,108003,0
11,2022,Cat A,1,460,460,687,87235,83247
11,2022,Cat A,2,459,444,622,90589,83247
11,2022,Cat B,1,411,393,640,115388,107652
11,2022,Cat B,2,416,416,568,113881,107652
11,2022,Cat C,1,70,69,147,76302,63894
11,2022,Cat C,2,73,73,122,81802,63894
11,2022,Cat D,1,441,440,537,13189,11591
11,2022,Cat D,2,445,420,594,12589,11591
11,2022,Cat E,1,146,143,283,116577,0
11,2022,Cat E,2,150,149,242,114009,0
12,2022,Cat A,1,458,454,616,88503,84903
12,2022,Cat A,2,473,472,618,88007,84903
12,2022,Cat B,1,427,426,568,105501,109363
12,2022,Cat B,2,409,409,564,108006,109363
12,2022,Cat C,1,69,68,118,81501,71048
12,2022,Cat C,2,69,60,147,78200,71048
12,2022,Cat D,1,441,437,544,12100,12204
12,2022,Cat D,2,465,461,647,11690,12204
12,2022,Cat E,1,149,148,266,110524,0
12,2022,Cat E,2,146,143,273,109600,0
1,2023,Cat A,1,462,459,649,80000,85988
1,2023,Cat A,2,459,456,627,86000,85988
1,2023,Cat B,1,410,410,487,102002,108106
1,2023,Cat B,2,408,402,514,105459,108106
1,2023,Cat C,1,70,70,183,77301,75667
1,2023,Cat C,2,78,74,182,77109,75667
1,2023,Cat D,1,445,432,678,10890,12354
1,2023,Cat D,2,445,431,572,11101,12354
1,2023,Cat E,1,146,146,285,107889,0
1,2023,Cat E,2,149,147,248,107000,0
2,2023,Cat A,1,509,497,663,86000,86723
2,2023,Cat A,2,508,504,702,86556,86723
2,2023,Cat B,1,430,430,580,105524,108373
2,2023,Cat B,2,436,401,768,115001,108373
2,2023,Cat C,1,44,44,108,85119,78703
2,2023,Cat C,2,47,40,136,87790,78703
2,2023,Cat D,1,477,475,594,11602,11927
2,2023,Cat D,2,479,453,611,12189,11927
2,2023,Cat E,1,129,126,229,105002,0
2,2023,Cat E,2,132,129,274,118001,0
3,2023,Cat A,1,517,507,665,88000,85845
3,2023,Cat A,2,510,508,768,93503,85845
3,2023,Cat B,1,431,431,629,115501,106916
3,2023,Cat B,2,466,466,670,116201,106916
3,2023,Cat C,1,43,39,65,91101,81170
3,2023,Cat C,2,50,42,107,85389,81170
3,2023,Cat D,1,467,465,566,12390,11596
3,2023,Cat D,2,490,490,616,12001,11596
3,2023,Cat E,1,132,128,254,116000,0
3,2023,Cat E,2,132,125,265,116020,0
4,2023,Cat A,1,515,508,749,96501,86677
4,2023,Cat A,2,507,489,750,103721,86677
4,2023,Cat B,1,430,414,566,118501,109948
4,2023,Cat B,2,430,403,553,120889,109948
4,2023,Cat C,1,47,47,103,76801,83969
4,2023,Cat C,2,51,47,116,75334,83969
4,2023,Cat D,1,466,454,529,12001,11696
4,2023,Cat D,2,465,436,510,12179,11696
4,2023,Cat E,1,134,133,252,118990,0
4,2023,Cat E,2,137,136,252,124501,0
5,2023,Cat A,1,474,472,663,101001,92381
5,2023,Cat A,2,596,588,936,92000,92381
5,2023,Cat B,1,410,410,513,119399,115270
5,2023,Cat B,2,480,480,713,113034,115270
5,2023,Cat C,1,68,68,109,75589,83589
5,2023,Cat C,2,72,70,148,77501,83589
5,2023,Cat D,1,554,542,670,5002,12061
5,2023,Cat D,2,571,562,1438,10602,12061
5,2023,Cat E,1,125,125,271,124002,0
5,2023,Cat E,2,125,104,301,125000,0
6,2023,Cat A,1,581,571,881,98001,95788
6,2023,Cat A,2,586,583,751,96206,95788
6,2023,Cat B,1,454,437,719,120702,117255
6,2023,Cat B,2,454,446,622,121000,117255
6,2023,Cat C,1,68,60,151,81801,80286
6,2023,Cat C,2,71,71,178,83140,80286
6,2023,Cat D,1,555,519,972,11001,10696
6,2023,Cat D,2,551,543,796,10709,10696
6,2023,Cat E,1,124,118,280,120889,0
6,2023,Cat E,2,145,140,312,123000,0
7,2023,Cat A,1,588,587,756,97000,97905
7,2023,Cat A,2,581,576,728,95202,97905
7,2023,Cat B,1,471,470,594,118002,118921
7,2023,Cat B,2,462,453,602,118001,118921
7,2023,Cat C,1,77,69,147,82223,78361
7,2023,Cat C,2,69,69,133,82001,78361
7,2023,Cat D,1,579,550,846,10090,10249
7,2023,Cat D,2,551,550,840,10501,10249
7,2023,Cat E,1,130,119,217,121000,0
7,2023,Cat E,2,129,128,243,122110,0
8,2023,Cat A,1,632,618,949,99499,96569
8,2023,Cat A,2,636,616,908,100000,96569
8,2023,Cat B,1,470,469,853,126889,118357
8,2023,Cat B,2,478,451,731,129890,118357
8,2023,Cat C,1,122,121,222,82100,80376
8,2023,Cat C,2,114,114,180,82801,80376
8,2023,Cat D,1,522,443,759,11501,9651
8,2023,Cat D,2,495,486,654,11402,9651
8,2023,Cat E,1,140,140,237,126201,0
8,2023,Cat E,2,131,107,237,131000,0
9,2023,Cat A,1,645,640,840,101000,97652
9,2023,Cat A,2,651,635,864,105000,97652
9,2023,Cat B,1,470,466,723,134889,122414
9,2023,Cat B,2,496,494,735,140889,122414
9,2023,Cat C,1,115,115,182,82889,82345
9,2023,Cat C,2,114,114,153,83801,82345
9,2023,Cat D,1,573,569,758,10901,10868
9,2023,Cat D,2,502,494,639,10700,10868
9,2023,Cat E,1,130,120,219,137000,0
9,2023,Cat E,2,153,144,282,144640,0
10,2023,Cat A,1,785,779,1039,104000,99617
10,2023,Cat A,2,797,791,1028,106000,99617
10,2023,Cat B,1,474,472,643,146002,128094
10,2023,Cat B,2,472,458,623,150001,128094
10,2023,Cat C,1,114,112,191,85900,82636
10,2023,Cat C,2,114,112,186,84790,82636
10,2023,Cat D,1,497,494,661,10856,10850
10,2023,Cat D,2,502,474,632,11201,10850
10,2023,Cat E,1,140,140,261,152000,0
10,2023,Cat E,2,138,127,228,158004,0
11,2023,Cat A,1,924,915,1165,95689,102584
11,2023,Cat A,2,925,925,1291,85001,102584
